pref_id;pref_name;year;month;year_month;date;n_m;n_f;n_total;ln_ratio_mf;;u_rate;n_ei_insured;n_care_need_2to5;n_ltc_facility_users;share_75plus;z_u_rate;z_ln_ei;z_ln_need;z_ln_fac;z_oldshare75;moy;t_index;ln_ei;ln_need;ln_fac
1;Hokkaido;2014;1;201401;2014-01-01;3;16;19;-1.55059741241117;;4.6;1413380;136383;41856;0.136;2.71454935777721;1.12721983880209;1.3866819592516;1.5608933983482;-0.546828414678714;1;0;14.1614945568628;11.823222383193;10.6419904348169
2;Aomori;2014;1;201401;2014-01-01;0;7;7;-2.70805020110221;;4.8;339299;44977;11434;0.147;2.9919431771886;-0.56681859406916;-0.294841257317802;-0.528554402628436;-0.0157924148874103;1;0;12.7346370035237;10.7139065269795;9.34434665182392
3;Iwate;2014;1;201401;2014-01-01;1;7;8;-1.6094379124341;;3.1;355575;41879;12883;0.158;0.634095712191742;-0.51119056190589;-0.403020392748495;-0.336431457998822;0.515243584903895;1;0;12.7814914764384;10.6425397869535;9.46366389179152
4;Miyagi;2014;1;201401;2014-01-01;3;8;11;-0.887303195000903;;4;674364;54464;15915;0.122;1.88236789954302;0.248690407836542;-0.00473045133282475;0.00388689653178093;-1.2226924144131;1;0;13.4215253034621;10.905295211933;9.67501733971619
5;Akita;2014;1;201401;2014-01-01;0;4;4;-2.19722457733622;;4.4;278992;41063;11722;0.178;2.43715553836581;-0.799162024305033;-0.432847237289503;-0.488499343877043;1.48076358452445;1;0;12.5389383865573;10.622862751713;9.36922269703637
6;Yamagata;2014;1;201401;2014-01-01;2;8;10;-1.22377543162212;;3.3;311201;36812;11591;0.166;0.911489531603137;-0.66944782126367;-0.598501499832084;-0.506595391657556;0.901451584752117;1;0;12.6481942846488;10.5135791579587;9.35798421388875
7;Fukushima;2014;1;201401;2014-01-01;4;8;12;-0.635988766719997;;3.4;533085;58752;16914;0.147;1.05018644130883;-0.0304194686858795;0.110146368368468;0.101914406938251;-0.0157924148874103;1;0;13.1864361651049;10.9810804739802;9.73589696034217
8;Ibaraki;2014;1;201401;2014-01-01;2;12;14;-1.6094379124341;;3.6;729025;66167;22268;0.117;1.32758026072023;0.341222397388133;0.290311667922309;0.544730019947642;-1.46407241431824;1;0;13.4994633039556;11.099937128212;10.0109059493034
9;Tochigi;2014;1;201401;2014-01-01;3;4;7;-0.251314428280906;;3.3;526223;44285;12649;0.117;0.911489531603137;-0.0458012691179847;-0.318344393914583;-0.365946894688863;-1.46407241431824;1;0;13.1734803562492;10.6984012982437;9.44533343964754
10;Gunma;2014;1;201401;2014-01-01;1;5;6;-1.29928298413026;;3.4;555598;49302;15294;0.127;1.05018644130883;0.0186901410253449;-0.155668664471857;-0.0602008654051659;-0.981312414507964;1;0;13.2278002901438;10.8057199271592;9.63521587360417
