pref_id;pref_name;male_wage_premium_2015;z_male_wage_premium_2015;dual_earner_share_2015;z_dual_earner_share_2015;breadwinner_exposure_2015;z_breadwinner_exposure_2015
1;Hokkaido;0,30408999;0,1424664;0,611988171;-1,228091733;0,388011829;1,228091733
2;Aomori;0,275281559;-0,785069706;0,700382518;0,584001216;0,299617482;-0,584001216
3;Iwate;0,284356836;-0,492875831;0,711546875;0,81287165;0,288453125;-0,81287165
4;Miyagi;0,302624817;0,09529268;0,626105262;-0,938689957;0,373894738;0,938689957
5;Akita;0,264680868;-1,126376862;0,717252001;0,929827303;0,282747999;-0,929827303
6;Yamagata;0,273862992;-0,830742867;0,751065749;1,623012517;0,248934251;-1,623012517
7;Fukushima;0,346394457;1,504530186;0,6910795;0,393288417;0,3089205;-0,393288417
8;Ibaraki;0,365256467;2,111824464;0,651722148;-0,413541233;0,348277852;0,413541233
9;Tochigi;0,346771894;1,516682408;0,664554634;-0,150473988;0,335445366;0,150473988
10;Gunma;0,318980954;0,621906143;0,677578296;0,116512385;0,322421704;-0,116512385
11;Saitama;0,324912799;0,812891915;0,608480504;-1,299999257;0,391519496;1,299999257
12;Chiba;0,297840571;-0,058744203;0,611856887;-1,230783068;0,388143113;1,230783068
13;Tokyo;0,341468084;1,345917284;0,615253819;-1,161145623;0,384746181;1,161145623
14;Kanagawa;0,304833254;0,16639704;0,588558293;-1,708406574;0,411441707;1,708406574
15;Niigata;0,281272168;-0,592191928;0,727742353;1,144880568;0,272257647;-1,144880568
16;Toyama;0,290958726;-0,280316829;0,738682027;1,369144978;0,261317973;-1,369144978
17;Ishikawa;0,309588026;0,319484958;0,730211333;1,195494905;0,269788667;-1,195494905
18;Fukui;0,290257229;-0,30290271;0,749592175;1,592804103;0,250407825;-1,592804103
19;Yamanashi;0,304353607;0,150953995;0,697328169;0,521386756;0,302671831;-0,521386756
20;Nagano;0,31865948;0,611555745;0,715212208;0,888011343;0,284787792;-0,888011343
21;Gifu;0,305357888;0,183288518;0,689043719;0,351554703;0,310956281;-0,351554703
22;Shizuoka;0,339252122;1,274570644;0,674967278;0,062986255;0,325032722;-0,062986255
23;Aichi;0,329386031;0,956915176;0,637301323;-0,709169587;0,362698677;0,709169587
24;Mie;0,32949445;0,960405909;0,671305879;-0,01207279;0,328694121;0,01207279
25;Shiga;0,302448368;0,089611606;0,635217854;-0,75188091;0,364782146;0,75188091
26;Kyoto;0,279556324;-0,647436425;0,629897008;-0,860958785;0,370102992;0,860958785
27;Osaka;0,290487123;-0,295500884;0,582566575;-1,831237392;0,417433425;1,831237392
28;Hyogo;0,288399616;-0,362711699;0,595587261;-1,564312028;0,404412739;1,564312028
29;Nara;0,271855003;-0,895393465;0,568556631;-2,118442644;0,431443369;2,118442644
30;Wakayama;0,28735133;-0,396463037;0,645773886;-0,535481199;0,354226114;0,535481199
31;Tottori;0,237253302;-2,009453686;0,743503354;1,467982664;0,256496646;-1,467982664
32;Shimane;0,235852075;-2,054568557;0,748711244;1,574744929;0,251288756;-1,574744929
33;Okayama;0,295126819;-0,146118033;0,665597933;-0,129086254;0,334402067;0,129086254
34;Hiroshima;0,299926902;0,008428749;0,647725253;-0,49547798;0,352274747;0,49547798
35;Yamaguchi;0,301475395;0,058285097;0,648363285;-0,48239826;0,351636715;0,48239826
36;Tokushima;0,23699666;-2,017716709;0,692609559;0,424654779;0,307390441;-0,424654779
37;Kagawa;0,323118631;0,755125645;0,67764381;0,117855429;0,32235619;-0,117855429
38;Ehime;0,335020506;1,138326618;0,661809863;-0,206742067;0,338190137;0,206742067
39;Kochi;0,276506197;-0,745640417;0,736610274;1,326673835;0,263389726;-1,326673835
40;Fukuoka;0,312439897;0,411305763;0,622311173;-1,01646916;0,377688827;1,01646916
41;Saga;0,345428055;1,473415241;0,713843574;0,859954209;0,286156426;-0,859954209
42;Nagasaki;0,31721731;0,565122645;0,67422878;0,047846972;0,32577122;-0,047846972
43;Kumamoto;0,296864446;-0,090172196;0,709932257;0,77977182;0,290067743;-0,77977182
44;Oita;0,30173829;0,066749446;0,66995593;-0,03974688;0,33004407;0,03974688
45;Miyazaki;0,278579198;-0,678896647;0,717332091;0,931469156;0,282667909;-0,931469156
46;Kagoshima;0,304274062;0,148392909;0,679428068;0,154432896;0,320571932;-0,154432896
47;Okinawa;0,216409519;-2,680554494;0,653038474;-0,386556419;0,346961526;0,386556419
